ЖК;Тип Недвижимости;Тип квартиры;Площадь от;Этаж от;Цена до;кол-во по фильтру;адрес1;адрес2;адрес3;id;;;;;;;;
цветной город ;новостройки;1;;;4000000;16;Чарушинская улица, 22к1;Пискарёвский проспект, 159к3;проспект Маршака, 16к3;73799;;;;;;;;
цветной город ;новостройки;2;;;5000000;23;Чарушинская улица, 22к2;Пискарёвский проспект, 159к4;проспект Маршака, 16к4;59255;;;;;;;;
цветной город ;новостройки;3;;;6950000;10;Чарушинская улица, 22к3;Пискарёвский проспект, 159к5;проспект Маршака, 16к5;1363053;;;;;;;;
цветной город ;новостройки;ст;;;2950000;38;Чарушинская улица, 22к4;Пискарёвский проспект, 159к6;проспект Маршака, 16к6;59252;;;;;;;;
Аквилон Sky ;новостройки;ст;;2;;27;Русановская улица, 24;Октябрьская набережная, 70к1;Народная улица, 98;100335;;;;;;;;
Аквилон Sky ;новостройки;1;;2;;11;Русановская улица, 24;Октябрьская набережная, 70к1;Народная улица, 98;100333;;;;;;;;
Аквилон Sky ;новостройки;2;;2;;21;Русановская улица, 24;Октябрьская набережная, 70к1;Народная улица, 98;100334;;;;;;;;
зеленый квартал ;новостройки;;;;;14;Пулковское шоссе, 71к2;Пулковское шоссе, 40к4;Пулковское шоссе, 20к4;70720;;;;;;;;
Заповедный парк;новостройки;ст;21    ;2;;14;Орлово-Денисовский проспект, 19к1;Береговая улица, 17к2;Выборгское шоссе, 31;74773;;;;;;;;
Заповедный парк;новостройки;1;;2;;24;Орлово-Денисовский проспект, 19к1;Береговая улица, 17к2;Выборгское шоссе, 31;74777;;;;;;;;
Заповедный парк;новостройки;2;;2;;25;Орлово-Денисовский проспект, 19к1;Береговая улица, 17к2;Выборгское шоссе, 31;74779;;;;;;;;
Заповедный парк;новостройки;3;;2;;19;Орлово-Денисовский проспект, 19к1;Береговая улица, 17к2;Выборгское шоссе, 31;74775;;;;;;;;
Солнечный город;новостройки;ст;;2;;33;улица Чекистов, 42;улица Генерала Кравченко, 8;проспект Маршала Жукова, 48к2;481017;;;;;;;;
Солнечный город;новостройки;1;;2;;12;улица Чекистов, 42;улица Генерала Кравченко, 8;проспект Маршала Жукова, 48к2;768638;;;;;;;;
Солнечный город;новостройки;2;;2;;12;улица Чекистов, 42;улица Генерала Кравченко, 8;проспект Маршала Жукова, 48к2;768697;;;;;;;;
Солнечный город;новостройки;4Е;;2;;18;улица Чекистов, 42;улица Генерала Кравченко, 8;проспект Маршала Жукова, 48к2;51225;;;;;;;;
Полис на Комендантском ;новостройки;ст;;;;35;Плесецкая улица, 10;Комендантский проспект, 50к1;Глухарская улица, 11к4;49836;;;;;;;;
Полис на Комендантском ;новостройки;1;;;;30;Плесецкая улица, 10;Комендантский проспект, 50к1;Глухарская улица, 11к4;49835;;;;;;;;
Полис на Комендантском ;новостройки;2;;;;5;Плесецкая улица, 10;Комендантский проспект, 50к1;Глухарская улица, 11к4;49834;;;;;;;;
Чистое Небо ;новостройки;ст;;2;;55;Комендантский проспект, 64к5;Комендантский проспект, 32к1;Комендантский проспект, 54;60003;;;;;;;;
Чистое Небо ;новостройки;1+2Е;;2;;33;Комендантский проспект, 64к5;Комендантский проспект, 32к1;Комендантский проспект, 54;2818081;;;;;;;;
Чистое Небо ;новостройки;2 + 3Е;;2;;34;Комендантский проспект, 64к5;Комендантский проспект, 32к1;Комендантский проспект, 54;2946849;;;;;;;;
Чистое Небо ;новостройки;3+4Е;;2;;14;Комендантский проспект, 64к5;Комендантский проспект, 32к1;Комендантский проспект, 54;51033;;;;;;;;
Valo;новостройки;ст;;;;31;улица Салова, 61;Белградская улица, 6к1;Белградская улица, 6к1;48151;;;;;;;;
Valo;новостройки;2Е;;;;8;улица Салова, 61;Белградская улица, 6к1;Белградская улица, 6к1;2590629;;;;;;;;
Цивилизация;новостройки;2Е;;2;;36;улица Дыбенко, 23к1;Архивная улица, 9к1;Октябрьская набережная, 48;59882;;;;;;;;
Цивилизация;новостройки;2+3Е;;2;;30;улица Дыбенко, 23к1;Архивная улица, 9к1;Октябрьская набережная, 48;47768;;;;;;;;
Цивилизация;новостройки;3;;2;;29;улица Дыбенко, 23к1;Архивная улица, 9к1;Октябрьская набережная, 48;59890;;;;;;;;
Лондон Парк ;новостройки;ст;;;;12;улица Кустодиева, 7к2;проспект Просвещения, 43;улица Ивана Фомина, 13к1;52115;;;;;;;;
Лондон Парк ;новостройки;1;;5;;41;улица Кустодиева, 7к2;проспект Просвещения, 43;улица Ивана Фомина, 13к1;52116;;;;;;;;
Лондон Парк ;новостройки;2;;5;;60;улица Кустодиева, 7к2;проспект Просвещения, 43;улица Ивана Фомина, 13к1;57952;;;;;;;;
Лондон Парк ;новостройки;3;;;;7;улица Кустодиева, 7к2;проспект Просвещения, 43;улица Ивана Фомина, 13к1;57956;;;;;;;;
Поэт ;новостройки;1;;5;;56;улица Кустодиева, 12;Северный проспект, 24к1;проспект Просвещения, 31;1794496;;;;;;;;
Поэт ;новостройки;2;;;;21;улица Кустодиева, 12;Северный проспект, 24к1;проспект Просвещения, 31;1794493;;;;;;;;
Поэт ;новостройки;3;;5;;16;улица Кустодиева, 12;Северный проспект, 24к1;проспект Просвещения, 31;1794478;;;;;;;;
Охта Хаус ;новостройки;1;;;;13;улица Бокситогорская, 27;Большеохтинский проспект, 3;проспект Энергетиков, 9к5;59470;;;;;;;;
Охта Хаус ;новостройки;2;;;;8;улица Бокситогорская, 27;Большеохтинский проспект, 3;проспект Энергетиков, 9к5;59472;;;;;;;;
Охта Хаус ;новостройки;3;;;;15;улица Бокситогорская, 27;Большеохтинский проспект, 3;проспект Энергетиков, 9к5;59471;;;;;;;;
Приморский Квартал ;новостройки;1;;;;10;Ипподромный переулок, 3к1;проспект Энгельса, 7Б;проспект Испытателей, 6к1;56963;;;;;;;;
